Lemma	Senses	Freq
hukuman	1	1
berani	1	4
embus	1	1
baik	5	6
tiada tara	1	1
tarik	1	1
moga-moga	1	1
rak	1	2
menyinari	1	1
maksud	5	5
mengherankan	1	1
mengerjakan	1	1
memeriksa	2	2
menjamin	1	1
redup	1	1
maling	1	3
menggambarkan	1	1
lewati	1	4
membengkokkan	1	1
bayangkan	1	2
benar	1	3
pandai	1	2
buah	1	10
berangkat	2	4
penjelasan	1	2
merenungkan	2	2
menjauh	1	1
jalan	6	10
menggaruk	1	1
canggih	1	2
melangkah	1	1
bisa	1	2
memanjat	1	9
anak	3	5
makan pagi	1	1
hari	3	5
tua	3	9
kehadiran	1	2
babun	1	4
sobat	1	1
apa pun	1	4
naik	1	3
amati	1	2
menyeramkan	1	1
letih	1	1
jalur	1	1
beberkan	1	1
menyedihkan	1	1
sosok	1	2
putar	1	1
sudah siap	1	1
tinggal di	1	1
listrik	1	1
penting	2	3
pokok	1	1
lebih baik	1	2
mencium bau	1	1
melupakan	1	1
kamar tidur	1	1
beres	2	2
asli	1	1
dengan cepat	1	2
keturunan	1	3
sampai ke	2	2
kenapa	2	4
bawa	2	3
kira-kira	1	1
ditarik	1	1
pembesar	1	1
profesional	1	1
darah	1	5
makanan	1	1
jumpa	1	1
tanggapan	1	1
cara	3	4
lilin	1	1
keributan	1	1
panjang	2	8
menyukai	1	1
mohon	1	1
bersama	2	2
kalian	1	1
esok	1	1
tingginya	1	1
mereka	1	19
enteng	1	1
seminggu	1	1
siapkan	1	1
susah payah	1	1
menyelidik	1	1
angka-angka	1	1
iring-iringan	1	1
pemilik	1	2
jarum	1	2
sedia	2	5
seketika	1	1
pembantu rumah	1	1
tatapan	1	2
sialan	1	1
tempat tidur	2	23
semakin	1	4
minggu	1	2
dana	1	1
tujuh	1	1
anggota badan	1	1
ketuk	1	1
antara	2	13
memandangi	1	4
adik	1	1
kebenaran	1	1
lebat	2	2
kami	1	110
selama	1	2
buku catatan	1	1
posisi	1	1
kata-kata	1	1
putus	1	4
hangat	2	2
tampak	1	1
ternganga	1	1
mempunyai	2	2
dianggap	1	1
jahat	1	1
penuturan	1	2
ujung	2	10
memegang	2	2
balas	1	1
memboroskan	1	1
lambat	1	1
tercekam	1	1
kedua	2	9
kucing	1	4
bawah	3	8
sudah	1	3
derajat	1	1
mengatakan	1	6
periksa	1	2
singkat	1	1
panggil	1	1
lalu	5	48
menunggu-nunggu	1	1
burung	1	2
terjun	1	1
selidiki	1	1
menyimpulkan	1	3
hutan	1	1
tiba-tiba	2	16
dukungan	1	1
boneka	1	1
mengintip	1	1
kembar	1	17
ketika	1	3
wangi	2	2
memeluk	1	1
paling	2	2
merebak	2	2
abu-abu	1	2
mengingat	1	1
pastikan	1	1
jarak	2	2
lorong	1	1
nyaman	1	1
kunjung	1	3
harta	1	1
kecelakaan	1	1
menimbang	1	1
bermekaran	1	1
pendapatan	1	1
tenda	1	1
tidur	3	39
nyaring	1	1
merayap	1	2
hai	1	1
ketinggalan	1	1
muda	3	5
turunkan	1	1
ternyata	1	2
jebol	1	1
berbisik	1	1
rumah tangga	1	2
semangat	1	1
dulu	4	9
arsitek	1	1
memakai	1	1
tangga	1	2
bagaimanapun	1	1
desa	1	5
cerah	1	1
paham	1	1
pun	1	1
geram	1	1
pintu	3	25
bertanggung jawab	1	1
persis	1	2
keemasan	2	2
susu	1	4
tindak	2	3
surat	1	2
judi	1	1
pesankan	2	2
mengajak	1	3
se-	3	22
kata	4	33
anyaman	1	1
kirimkan	1	1
jangan	1	1
jawab	1	3
menyelesaikan	1	1
teriak	3	6
lupakan	1	1
surga	1	10
surat warisan	1	1
melepaskan diri	1	1
tinju	1	1
misteri	1	2
pergi	3	10
menjerit	1	1
sampaikan	1	1
saputangan	1	1
melamar	1	1
terlalu banyak	1	1
di bawah	2	2
kaus	1	1
petugas	2	4
kontras	1	2
siap	1	1
pindah	2	5
menanyakan	2	2
tragis	1	1
mengembalikan	2	2
saksama	3	3
memasang	1	1
besar	3	12
titik	1	1
kepiting	1	1
tersembul	1	2
lenyap	1	1
menyiagakan	1	1
isap	1	1
saran	1	1
imbalan	2	2
sisa	1	1
sobekan	1	1
pemuda	1	3
sahutan	1	1
tujuh puluh	1	1
pengadilan	1	1
harga	1	1
memancarkan	1	3
buang	1	1
latih	1	1
paling penting	1	1
tidak perlu	1	1
kala	1	1
kebaikan	1	1
keburu	1	2
terikat	1	2
menjadi-jadi	1	1
perhatikan	1	1
kelana	1	1
batin	1	1
hijau	1	1
ke	3	5
bangkrut	1	1
kursi	1	10
pernikahan	1	6
tipis	1	3
sekalipun	1	1
deras	1	1
meloncat	2	2
samping	1	11
maju	2	3
mungkin	6	38
pengorek api	1	1
sambungan	1	1
setengah	2	2
maklum	1	1
perlu	1	1
lereng	1	1
perlihatkan	1	1
binatang peliharaan	1	1
dingin	1	3
siapa	1	9
menyambut	2	2
ratus	1	2
pipa	1	1
ketaatan	1	1
mendengar	3	18
peliharaan	1	1
kehilangan	1	1
kertas	1	1
mengangguk	2	3
mulai	1	4
erat	3	3
penyidikan	1	1
uang	1	5
lanjutkan	3	4
koridor	1	7
berteriak	2	2
bijaksana	1	1
mencemplungkan	1	1
masyhur	1	1
tunggal	1	1
gawat	1	1
yang biasa	1	2
menemani	1	1
gedung	1	5
layu	1	1
hujan	2	3
pintar	1	1
sementara	1	1
guna	2	3
kematian	2	10
umur	1	2
lemparkan	1	2
kenal	1	1
kaya raya	1	1
cabang	1	2
saat ini	1	1
mencari	2	2
menutupi	1	4
kereta api	1	7
menuju ke	1	1
simpul	1	1
letakkan	1	1
berterima kasih	1	1
menoleh	1	1
deteksi	1	1
kuning	1	1
perapian	1	4
agaknya	2	2
demikian	3	7
lebar	2	3
kepergian	1	1
menyebarkan	1	1
dua kali	1	1
bahu	1	2
tanyakan	1	1
betul	1	1
malang	2	2
makhluk	1	1
samar-samar	1	1
seluruh	1	1
paling tidak	1	3
saku	1	1
bundar	1	1
mengupayakan	1	1
menuliskan	1	1
gerangan	1	2
sebaiknya	1	5
menyerang	1	1
teratai	1	9
terperikan	1	1
dua	1	9
ingin	4	12
membungkuk	3	3
terdesak	1	1
sekali-kali	1	1
maksudkan	1	3
sehabis	1	1
terbaring	1	1
menyuruh	1	1
di samping itu	1	1
kurus	1	1
calcutta	1	1
memejamkan	1	1
malam ini	1	2
sia-sia	1	4
masih	3	9
cahaya	2	7
telinga	1	2
mengepal-ngepalkan	1	1
sering kali	1	1
oleh karena itu	1	1
mana	2	8
mengendalikan	1	1
langkah	2	2
muncul	2	2
petang hari	1	1
seruan	1	1
tersiar	1	1
cerobong	1	1
sungai	1	2
amat	4	14
membayar	3	3
terusik	1	1
kau	1	23
bintang	1	1
tenggorokan	1	1
perintah	1	1
semut	1	1
bertunangan	1	1
pertama	1	1
lis	1	2
jaga	1	2
robohkan	1	1
kerjakan	1	2
kali	2	8
tingkah laku	1	1
kasihan	1	1
sepertinya	1	1
artileri	1	1
ini	2	82
menggeliat-geliat	1	1
ular	1	15
tunggu	1	1
penjahat	1	1
sejenak	1	5
kira	1	2
lilitkan	1	1
gemar	1	1
akui	1	1
pengamatan	1	1
ketegangan	1	1
situ	1	9
menurut	1	6
akhir	6	9
melewati	3	6
logis	1	1
laba-laba	1	15
mangkuk	1	1
mengisahkan	1	1
dini hari	1	1
kilau	2	2
menarik kesimpulan	1	1
luar biasa	2	2
keheningan	1	2
rumput	1	3
rangkaikan	1	1
tampang	1	1
pucat pasi	1	2
sebetulnya	1	1
maniak	1	1
buka	3	6
hati nurani	1	1
terang	2	3
lupa	1	2
lumpur	1	2
jauh	4	7
menuju	2	10
segar	1	1
mengungsi	1	1
siapa pun	1	3
melemparkan	1	1
tebal	1	1
tergelak	1	1
sudut	2	5
lumayan	1	1
sunyi	2	2
terima kasih	2	2
jeruji	1	1
menyalakan	3	7
kebrutalan	1	1
dalam	1	5
berkeriang-keriut	1	1
saya	1	158
sudah dekat	1	1
undangan	1	1
bangunan	1	3
dipangkas	1	1
1883	1	1
kemudian	3	6
delapan	1	3
menjawab	2	2
selesai	3	4
Sherlock Holmes	1	3
biaya kuliah	1	1
nanti	3	6
mengeluarkan	2	2
sifat	1	2
moyang	1	1
kejahatan	3	6
tertawa	1	3
london	1	1
dua belas	1	2
membicarakan	1	1
terjadinya	1	1
papan	2	2
dugaan-dugaan	1	1
pemurung	1	1
miss	1	2
tangani	2	2
gigit	1	2
betul-betul	1	1
rumit	2	3
biasa	6	9
pandai besi	1	2
lega	1	1
putik	1	2
timbul-tenggelam	1	1
wah	1	3
istimewa	1	1
neraka	2	13
abad	1	1
harapkan	1	1
tidak berdaya	1	1
beritahu	1	1
lembap	1	1
kerutan	1	2
kesakitan	2	2
rendah	3	3
tengah	6	12
dokter	1	14
diri	2	9
keberatan	3	4
tetap	2	6
suka	1	1
mesti	2	2
resmi	1	1
cepat	3	5
kampung	1	1
lemah	1	2
tiba	3	7
omong	1	1
miskin	1	1
servis	1	1
angker	1	1
tajam	3	3
membuntuti	1	2
segi empat	1	1
meninggalkan	2	3
tiap	2	3
melindungi	1	1
merisaukan	1	1
buat	3	5
hanya	3	21
percayakan	1	1
memukul	1	3
anak kecil	1	1
serak	1	1
berita burung	1	1
ulung	1	1
selamat siang	1	1
ongkos	1	2
sakit kepala	1	1
segi tiga	1	1
pemandangan	2	2
crocus	1	1
heran	2	2
semuanya	1	8
palang	3	7
menangani	1	5
susah	1	2
bentuk	1	4
bisik	1	2
keras	5	6
banding	2	3
kembalikan	1	1
celah	2	3
mencatat	1	1
giok	1	1
merahasiakan	1	1
aroma	1	1
menyatakan	2	2
baru	4	9
temaram	1	3
ke atas	1	3
barat	1	2
tetangga	1	1
ayah tiri	1	17
jongkok	1	1
sebentar	1	1
cukup	3	17
sedih	1	1
sekadar	1	1
kejadian	3	3
menuntun	1	1
temui	1	1
daya	1	1
sekarang	4	5
saja	6	28
tidak	2	20
berarti	2	3
janda	1	1
tepi jalan	1	1
seorang	2	9
berganjalkan	1	1
menjadi	3	8
lengan	2	3
satu-satunya	1	2
ruang duduk	1	5
tergulung	1	1
tersebut	1	2
kemah	1	2
pasukan	1	1
sepercik	1	1
semula	2	2
kasus	1	17
pojok	1	1
